effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/rtw2_rival_empires_effects				
rtw2_rival_empires_tier_3	rom_building_research_points	this_faction	10.0000	start_turn_completed
rtw2_rival_empires_tier_3	rom_building_building_cost_mod	in_all_your_regions	-10.0000	start_turn_completed
rtw2_rival_empires_tier_4	rom_building_research_points	this_faction	18.0000	start_turn_completed
rtw2_rival_empires_tier_4	rom_building_building_cost_mod	in_all_your_regions	-15.0000	start_turn_completed
rtw2_rival_empires_tier_4	rtw2_rival_empires_build_time	in_all_your_regions	-1.0000	start_turn_completed
rtw2_rival_empires_tier_4	rom_faction_public_order_difficulty_level	in_all_your_provinces	1.0000	start_turn_completed
rtw2_rival_empires_tier_5	rom_building_research_points	this_faction	26.0000	start_turn_completed
rtw2_rival_empires_tier_5	rom_building_building_cost_mod	in_all_your_regions	-22.0000	start_turn_completed
rtw2_rival_empires_tier_5	rtw2_rival_empires_build_time	in_all_your_regions	-1.0000	start_turn_completed
rtw2_rival_empires_tier_5	rom_faction_public_order_difficulty_level	in_all_your_provinces	2.0000	start_turn_completed
rtw2_rival_empires_tier_6	rom_building_research_points	this_faction	34.0000	start_turn_completed
rtw2_rival_empires_tier_6	rom_building_building_cost_mod	in_all_your_regions	-29.0000	start_turn_completed
rtw2_rival_empires_tier_6	rtw2_rival_empires_build_time	in_all_your_regions	-1.0000	start_turn_completed
rtw2_rival_empires_tier_6	rom_faction_public_order_difficulty_level	in_all_your_provinces	3.0000	start_turn_completed
rtw2_rival_empires_tier_7	rom_building_research_points	this_faction	42.0000	start_turn_completed
rtw2_rival_empires_tier_7	rom_building_building_cost_mod	in_all_your_regions	-36.0000	start_turn_completed
rtw2_rival_empires_tier_7	rtw2_rival_empires_build_time	in_all_your_regions	-1.0000	start_turn_completed
rtw2_rival_empires_tier_7	rom_faction_public_order_difficulty_level	in_all_your_provinces	4.0000	start_turn_completed
